,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [캜],Requested Coolant Temperature [캜],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜]
0,0.0,0.0,576.0,0.0,0.0,0.21,0.0,392.1,-1.0,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
1,0.1,0.0,576.0,0.0,0.0,0.21,0.0,392.1,-1.0,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
2,0.2,0.0,576.0,0.0,0.0,0.19,0.0,392.1,-1.0,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
3,0.3,0.0,576.0,0.0,0.0,0.17,0.0,392.1,-1.0,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
4,0.4,0.0,576.0,0.0,0.0,0.17,0.0,392.1,-1.0,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
5,0.5,0.0,576.0,0.0,0.0,0.19,0.0,392.1,-1.0,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
6,0.6,0.0,576.0,0.0,0.0,0.17,0.0,392.1,-1.0,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
7,0.7,0.0,576.0,0.0,0.0,0.19,0.0,392.1,-1.0,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
8,0.8,0.0,576.0,0.0,0.0,0.17,0.0,392.1,-1.0,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
9,0.9,0.0,576.0,0.0,0.0,0.15,0.0,392.1,-1.0,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
10,1.0,0.0,576.0,0.0,0.0,0.19,0.0,392.1,-0.95,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
11,1.1,0.0,576.0,0.0,0.0,0.17,0.0,392.1,-0.9,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
12,1.2,0.0,576.0,0.0,0.0,0.19,0.0,392.1,-0.95,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
13,1.3,0.0,576.0,0.0,0.0,0.11,0.0,392.1,-1.0,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
14,1.4,0.0,576.0,0.0,0.0,0.11,0.0,392.1,-1.0,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
15,1.5,0.0,576.0,0.0,0.0,0.11,0.0,392.1,-1.0,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
16,1.6,0.0,576.0,0.0,1.0,0.09,0.0,392.1,-1.1,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
17,1.7,0.0,576.0,0.0,3.0,0.17,0.0,392.1,-1.2,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
18,1.8,0.0,576.0,1.55,5.77,0.25,0.0,392.1,-1.3,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
19,1.9,0.0,576.0,7.21,7.86,0.29,0.0,392.1,-1.4,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
20,2.0,0.0,576.0,11.65,9.14,0.29,0.0,392.1,-1.45,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
21,2.1,0.0,576.0,12.18,11.77,0.32,0.0,392.1,-1.5,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
22,2.2,0.0,576.0,12.7,16.0,0.35,0.0,392.05,-1.65,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
23,2.3,0.0,576.0,14.15,19.64,0.33,0.0,392.0,-1.8,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
24,2.4,0.0,576.0,17.05,20.5,0.38,0.0,392.0,-2.04,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
25,2.5,0.0,576.0,19.93,25.64,0.44,0.0,392.0,-2.29,16.0,17.0,86.8,100.0,8,89.5,0.0,0.0,0.0,1,15.5,85,16.5,24.5
