,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Heating Power LIN [W],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Heater Voltage [V],Heater Current [A],Ambient Temperature [캜],Coolant Temperature Heatercore [캜],Requested Coolant Temperature [캜],Coolant Temperature Inlet [캜],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜]
0,0.0,0.0,576.0,0.0,0.0,0.01,0.0,391.4,-1.5,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
1,0.1,0.0,576.0,0.0,0.0,0.01,0.0,391.35,-1.64,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
2,0.2,0.0,576.0,0.0,0.0,0.03,0.0,391.3,-1.79,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
3,0.3,0.0,576.0,0.0,0.0,0.02,0.0,391.3,-1.8,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
4,0.4,0.0,576.0,0.0,0.0,0.01,0.0,391.3,-1.8,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
5,0.5,0.0,576.0,0.0,0.0,0.02,0.0,391.3,-1.8,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
6,0.6,0.0,576.0,0.0,0.0,0.01,0.0,391.3,-1.8,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
7,0.7,0.0,576.0,0.0,0.0,0.01,0.0,391.3,-1.75,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
8,0.8,0.0,576.0,0.0,0.0,0.01,0.0,391.3,-1.7,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
9,0.9,0.0,576.0,2.94,0.0,-0.01,0.0,391.3,-1.89,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
10,1.0,0.0,576.0,6.97,1.29,0.06,0.0,391.3,-2.09,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
11,1.1,0.0,576.0,10.95,3.12,0.14,0.0,391.3,-2.29,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
12,1.2,0.0,576.0,12.07,10.91,0.15,0.0,391.3,-2.49,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
13,1.3,0.0,576.0,14.23,13.0,0.15,0.0,391.25,-2.69,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
14,1.4,0.0,576.0,17.72,17.82,0.26,0.0,391.2,-2.89,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
15,1.5,0.0,576.0,18.98,24.62,0.42,0.0,391.2,-3.18,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
16,1.6,0.0,576.0,19.58,31.12,0.49,0.0,391.2,-3.48,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
17,1.7,0.3,576.0,21.06,36.91,0.52,0.0,391.15,-3.83,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
18,1.8,0.6,576.0,21.0,41.5,0.58,0.0,391.1,-4.18,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
19,1.9,0.74,576.0,21.0,47.21,0.68,0.0,391.1,-4.67,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
20,2.0,1.06,576.0,21.0,49.79,0.7,0.0,391.1,-5.17,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
21,2.1,1.28,576.0,20.7,52.0,0.66,0.0,391.05,-5.48,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
22,2.2,1.54,576.0,20.55,53.71,0.68,0.0,391.0,-5.78,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
23,2.3,1.79,576.0,19.79,54.5,0.67,0.0,390.95,-5.99,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
24,2.4,2.07,576.0,18.98,53.41,0.64,0.0,390.9,-6.19,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
25,2.5,2.31,576.0,18.98,52.59,0.62,0.0,390.9,-6.25,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
26,2.6,2.57,576.0,19.13,52.21,0.53,0.0,390.9,-6.3,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
27,2.7,2.8,576.0,19.3,51.0,0.49,0.0,390.9,-6.39,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
28,2.8,2.99,576.0,19.89,49.91,0.52,0.0,390.9,-6.49,19.0,20.0,86.2,100.0,8,89.5,0.0,0,0,0,1,394.0,0,22.0,57.0,85,58.0,29.5,39.84
