,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [캜],Requested Coolant Temperature [캜],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜]
0,0.0,0.09,574.0,23.33,52.5,0.83,0.0,391.6,-8.6,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,26.0,39.17
1,0.1,0.45,574.0,23.18,53.78,0.83,0.0,391.57,-8.96,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,26.0,39.17
2,0.2,0.93,574.0,23.0,57.07,0.87,0.0,391.52,-9.61,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,26.0,39.17
3,0.3,1.11,574.0,23.0,59.14,0.83,0.0,391.47,-10.15,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,26.0,39.17
4,0.4,1.42,574.0,23.88,59.79,0.85,0.0,391.42,-10.6,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,26.0,39.17
5,0.5,1.6,574.0,26.01,61.93,0.85,0.0,391.37,-11.18,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,26.0,39.17
6,0.6,1.87,574.0,28.13,64.86,0.97,0.0,391.32,-11.89,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,26.0,39.17
7,0.7,2.2,574.0,28.28,71.5,1.18,0.0,391.27,-12.72,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,26.0,39.17
8,0.8,2.53,574.0,28.6,77.0,1.15,0.0,391.22,-13.67,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,26.0,39.17
9,0.9,2.91,574.0,29.09,80.79,1.22,0.0,391.17,-14.46,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,26.0,39.17
10,1.0,3.32,574.0,29.08,82.0,1.19,0.0,391.12,-15.11,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,26.0,39.17
11,1.1,3.72,574.0,28.93,83.86,1.24,0.0,391.07,-15.78,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,26.0,39.17
12,1.2,4.1,574.0,28.58,83.5,1.24,0.0,391.02,-16.48,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,25.95,39.17
13,1.3,4.57,574.0,28.11,83.43,1.26,0.0,390.97,-16.99,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,25.9,39.17
14,1.4,4.95,574.0,27.68,81.28,1.09,0.0,390.92,-17.34,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,25.85,39.17
15,1.5,5.32,574.0,28.13,80.07,1.14,0.0,390.9,-17.64,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,25.8,39.17
16,1.6,5.66,574.0,28.75,77.86,0.9,0.0,390.9,-17.89,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,25.75,39.17
17,1.7,5.99,574.0,29.7,74.0,0.82,0.0,390.9,-17.95,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,25.7,39.17
18,1.8,6.29,574.0,32.03,70.57,0.47,0.0,390.9,-17.85,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,25.65,39.17
19,1.9,6.55,574.0,32.18,70.07,0.61,0.0,390.9,-17.72,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,25.6,39.17
20,2.0,6.79,574.0,32.95,70.5,0.61,0.0,390.9,-17.57,26.0,26.0,86.6,100.0,8,90,0.0,85,1.52,1,27.0,215,25.55,39.17
21,2.1,7.13,574.0,33.4,67.86,0.64,0.0,390.87,-17.66,26.0,26.0,86.6,100.0,8,90,0.0,85,1.6,1,27.0,215,25.5,39.17
22,2.2,7.37,574.0,33.28,66.0,0.57,0.0,390.82,-17.96,26.0,26.0,86.6,100.0,8,90,0.0,85,1.6,1,27.0,215,25.5,39.16
23,2.3,7.66,574.0,33.4,66.43,0.57,0.0,390.83,-17.85,26.0,26.0,86.6,100.0,8,90,0.0,85,1.6,1,27.0,215,25.5,39.14
24,2.4,7.86,574.0,34.07,61.93,0.62,0.0,390.88,-17.41,26.0,26.0,86.6,100.0,8,90,0.0,85,1.6,1,27.0,215,25.5,39.13
25,2.5,8.09,574.0,34.5,59.0,0.33,0.0,390.9,-17.12,26.0,26.0,86.57,100.0,8,90,0.0,85,1.6,1,27.0,215,25.5,39.11
26,2.6,8.27,574.0,35.28,57.54,0.41,0.0,390.9,-16.97,26.0,26.0,86.52,100.0,8,90,0.0,85,1.6,1,27.0,215,25.5,39.09
27,2.7,8.45,574.0,36.07,54.04,0.37,0.0,390.9,-16.66,26.0,26.0,86.5,100.0,8,90,0.0,85,1.6,1,27.0,215,25.5,39.08
28,2.8,8.63,574.0,37.59,50.07,0.42,0.0,390.9,-16.21,26.0,26.0,86.5,100.0,8,90,0.0,85,1.6,1,27.0,215,25.5,39.06
29,2.9,8.76,574.0,38.41,49.07,0.25,0.0,390.87,-16.51,26.0,26.0,86.5,100.0,8,90,0.0,85,1.64,1,27.0,215,25.5,39.04
30,3.0,8.91,574.0,41.0,51.04,0.35,0.0,390.82,-17.46,26.0,26.0,86.5,100.0,8,90,0.0,85,1.64,1,27.0,215,25.5,39.03
31,3.1,9.21,574.0,41.49,56.61,0.65,0.0,390.72,-19.28,26.0,26.0,86.5,100.0,8,90,0.0,85,1.64,1,27.0,215,25.5,39.01
32,3.2,9.42,574.0,41.48,68.56,0.87,0.0,390.57,-21.83,26.0,26.0,86.5,100.0,8,90,0.0,85,1.64,1,27.0,215,25.5,39.01
