,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [캜],Requested Coolant Temperature [캜],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜]
0,0.0,0.0,575.0,0.0,0.0,0.19,0.0,391.1,-6.2,22,22.0,85.8,100.0,8,90,1.48,920.0,0.52,1,21.0,85,17.5,26.01
1,0.1,0.0,575.0,0.0,0.0,0.2,0.0,391.1,-6.2,22,22.0,85.8,100.0,8,90,1.48,920.0,0.52,1,21.0,85,17.5,26.01
2,0.2,0.0,575.0,0.0,0.0,0.21,0.0,391.11,-6.08,22,22.0,85.8,100.0,8,90,1.48,877.52,0.51,1,21.0,85,17.5,26.01
3,0.3,0.0,575.0,0.0,0.0,0.2,0.0,391.16,-5.43,22,22.0,85.8,100.0,8,90,1.48,777.52,0.51,1,21.0,85,17.5,26.01
4,0.4,0.0,575.0,0.0,0.0,0.19,0.0,391.2,-4.9,22,22.0,85.8,100.0,8,90,1.48,686.02,0.5,1,21.0,85,17.5,26.01
5,0.5,0.0,575.0,0.0,0.0,0.18,0.0,391.2,-4.9,22,22.0,85.8,100.0,8,90,1.48,606.02,0.5,1,21.0,85,17.5,26.01
6,0.6,0.0,575.0,0.0,0.0,0.16,0.0,391.2,-4.82,22,22.0,85.8,100.0,8,90,1.48,560.0,0.49,1,21.0,85,17.5,26.01
7,0.7,0.0,575.0,0.0,0.0,0.18,0.0,391.2,-4.37,22,22.0,85.8,100.0,8,90,1.48,560.0,0.49,1,21.0,85,17.5,26.01
8,0.8,0.0,575.0,0.0,0.0,0.2,0.0,391.21,-4.02,22,22.0,85.8,100.0,8,90,1.48,560.0,0.48,1,21.0,85,17.5,26.01
9,0.9,0.0,575.0,0.0,0.0,0.2,0.0,391.26,-4.12,22,22.0,85.8,100.0,8,90,1.48,560.0,0.48,1,21.0,85,17.5,26.01
10,1.0,0.0,575.0,0.0,0.0,0.18,0.0,391.29,-4.18,22,22.0,85.8,100.0,8,90,1.48,560.0,0.48,1,21.0,85,17.5,26.01
11,1.1,0.0,575.0,0.0,0.0,0.19,0.0,391.24,-4.08,22,22.0,85.8,100.0,8,90,1.48,560.0,0.48,1,21.0,85,17.5,26.01
12,1.2,0.0,575.0,0.0,0.0,0.19,0.0,391.21,-4.0,22,22.0,85.8,100.0,8,90,1.48,560.0,0.48,1,21.0,85,17.5,26.01
13,1.3,0.0,575.0,0.0,0.0,0.2,0.0,391.26,-4.0,22,22.0,85.8,100.0,8,90,1.48,560.0,0.48,1,21.0,85,17.5,26.01
14,1.4,0.0,575.0,0.0,0.0,0.2,0.0,391.3,-4.02,22,22.0,85.8,100.0,8,90,1.48,560.0,0.48,1,21.0,85,17.5,26.01
15,1.5,0.0,575.0,0.0,0.0,0.2,0.0,391.3,-4.12,22,22.0,85.8,100.0,8,90,1.48,560.0,0.48,1,21.0,85,17.5,26.01
16,1.6,0.0,575.0,0.0,0.0,0.2,0.0,391.3,-4.16,22,22.0,85.8,100.0,8,90,1.48,560.0,0.48,1,21.0,85,17.5,26.01
17,1.7,0.0,575.0,0.0,0.0,0.18,0.0,391.3,-3.96,22,22.0,85.8,100.0,8,90,1.48,560.0,0.44,1,21.0,85,17.5,26.01
18,1.8,0.0,575.0,0.0,0.0,0.17,0.0,391.3,-3.83,22,22.0,85.8,100.0,8,90,1.48,560.0,0.44,1,21.0,85,17.5,26.01
19,1.9,0.0,575.0,0.0,0.0,0.2,0.0,391.3,-3.98,22,22.0,85.8,100.0,8,90,1.48,560.0,0.44,1,21.0,85,17.5,26.01
20,2.0,0.0,575.0,0.0,0.0,0.16,0.0,391.29,-4.06,22,22.0,85.8,100.0,8,90,1.48,560.0,0.44,1,21.0,85,17.5,26.01
21,2.1,0.0,575.0,0.0,0.0,0.16,0.0,391.24,-3.86,22,22.0,85.8,100.0,8,90,1.48,560.0,0.44,1,21.0,85,17.5,26.01
22,2.2,0.0,575.0,0.0,0.0,0.16,0.0,391.21,-3.74,22,22.0,85.8,100.0,8,90,1.48,551.52,0.44,1,21.0,85,17.5,26.01
23,2.3,0.0,575.0,0.0,0.0,0.14,0.0,391.26,-3.99,22,22.0,85.8,100.0,8,90,1.48,531.52,0.44,1,21.0,85,17.5,26.01
