,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [캜],Requested Coolant Temperature [캜],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜]
0,0.0,0.0,518.0,0.0,0.0,0.29,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.67
1,0.1,0.0,518.0,0.0,0.0,0.29,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.67
2,0.2,0.0,518.0,0.0,0.0,0.31,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.65
3,0.3,0.0,518.0,0.0,0.0,0.28,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.63
4,0.4,0.0,518.0,0.0,0.0,0.26,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.62
5,0.5,0.0,518.0,0.0,0.0,0.25,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.6
6,0.6,0.0,518.0,0.0,0.0,0.28,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.58
7,0.7,0.0,518.0,0.0,0.0,0.31,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.57
8,0.8,0.0,518.0,0.0,0.0,0.3,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.55
9,0.9,0.0,518.0,0.0,0.0,0.28,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.53
10,1.0,0.0,518.0,0.0,0.0,0.29,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.52
11,1.1,0.0,518.0,0.0,0.0,0.26,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.51
12,1.2,0.0,518.0,0.0,0.0,0.3,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.51
13,1.3,0.0,518.0,0.0,0.0,0.25,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.51
14,1.4,0.0,518.0,0.0,0.0,0.28,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.51
15,1.5,0.0,518.0,0.0,0.0,0.29,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.51
16,1.6,0.0,518.0,0.0,0.0,0.28,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.51
17,1.7,0.0,518.0,0.0,0.0,0.3,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.51
18,1.8,0.0,518.0,0.0,0.0,0.31,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.51
19,1.9,0.0,518.0,0.0,0.0,0.3,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.51
20,2.0,0.0,518.0,0.0,0.0,0.29,0.0,381.6,-1.0,19.0,20.0,63.0,73.5,8,90,0.0,0.0,0.0,1,19.5,85,15.0,25.51
