,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [캜],Requested Coolant Temperature [캜],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜]
0,0.0,0.0,576.0,0.0,0.0,0.21,0.0,392.9,-0.9,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
1,0.1,0.0,576.0,0.0,0.0,0.25,0.0,392.9,-0.9,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
2,0.2,0.0,576.0,0.0,0.0,0.22,0.0,392.9,-0.9,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
3,0.3,0.0,576.0,0.0,0.0,0.19,0.0,392.9,-0.9,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
4,0.4,0.0,576.0,0.0,0.0,0.21,0.0,392.9,-0.9,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
5,0.5,0.0,576.0,0.0,0.0,0.23,0.0,392.9,-0.9,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
6,0.6,0.0,576.0,0.0,0.0,0.23,0.0,392.9,-0.9,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
7,0.7,0.0,576.0,0.0,0.0,0.2,0.0,392.9,-0.9,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
8,0.8,0.0,576.0,0.0,0.0,0.21,0.0,392.9,-0.9,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
9,0.9,0.0,576.0,0.0,0.0,0.21,0.0,392.9,-0.9,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
10,1.0,0.0,576.0,0.0,0.0,0.23,0.0,392.9,-0.9,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
11,1.1,0.0,576.0,0.0,0.0,0.22,0.0,392.9,-0.9,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
12,1.2,0.0,576.0,0.0,0.0,0.19,0.0,392.9,-0.86,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
13,1.3,0.0,576.0,0.0,0.0,0.21,0.0,392.9,-0.81,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
14,1.4,0.0,576.0,0.0,0.0,0.24,0.0,392.9,-0.84,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
15,1.5,0.0,576.0,0.0,0.0,0.23,0.0,392.9,-0.89,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
16,1.6,0.0,576.0,0.0,0.0,0.21,0.0,392.9,-0.82,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
17,1.7,0.0,576.0,0.0,0.0,0.23,0.0,392.9,-0.72,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
18,1.8,0.0,576.0,0.0,0.0,0.21,0.0,392.9,-0.7,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
19,1.9,0.0,576.0,0.0,0.0,0.17,0.0,392.9,-0.7,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
20,2.0,0.0,576.0,0.0,0.0,0.19,0.0,392.9,-0.7,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
21,2.1,0.0,576.0,0.0,0.0,0.22,0.0,392.9,-0.7,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
22,2.2,0.0,576.0,0.0,0.0,0.21,0.0,392.9,-0.7,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
23,2.3,0.0,576.0,0.0,0.0,0.23,0.0,392.9,-0.7,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
24,2.4,0.0,576.0,0.0,0.0,0.26,0.0,392.9,-0.7,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
25,2.5,0.0,576.0,0.0,0.0,0.21,0.0,392.9,-0.7,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
26,2.6,0.0,576.0,0.0,0.0,0.2,0.0,392.9,-0.7,22,22.0,88.5,99.5,8,89.5,0.0,0,0.0,0,23.5,0,26.0,37.51
