,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [캜],Requested Coolant Temperature [캜],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜]
0,0.0,0.0,578.0,0.0,0.0,0.13,0.0,390.3,-6.2,24.0,25.0,83.5,100.0,8,90,0.84,1640.0,0.48,1,21.5,85,20.5,23.0
1,0.1,0.0,578.0,0.0,0.0,0.13,0.0,390.3,-6.2,24.0,25.0,83.5,100.0,8,90,0.84,1703.79,0.48,1,21.5,85,20.5,23.0
2,0.2,0.0,578.0,0.0,0.38,0.17,0.0,390.33,-6.42,24.0,25.0,83.5,100.0,8,90,0.84,1803.78,0.48,1,21.5,85,20.5,23.0
3,0.3,0.0,578.0,0.0,0.62,0.21,0.0,390.38,-6.77,24.0,25.0,83.5,100.0,8,90,0.84,1916.53,0.48,1,21.5,85,20.5,23.0
4,0.4,0.0,578.0,0.0,0.57,0.01,0.0,390.37,-6.71,24.0,25.0,83.5,100.0,8,90,0.84,2036.53,0.48,1,21.5,85,20.5,23.0
5,0.5,0.0,578.0,0.0,0.93,0.01,0.0,390.32,-6.41,24.0,25.0,83.5,100.0,8,90,0.84,2143.77,0.48,1,21.5,85,20.5,23.0
6,0.6,0.0,578.0,0.0,0.0,0.03,0.0,390.3,-6.46,24.0,25.0,83.5,100.0,8,90,0.84,2243.76,0.48,1,21.5,85,20.5,23.0
7,0.7,0.0,578.0,0.0,0.62,0.07,0.0,390.3,-6.71,24.0,25.0,83.5,100.0,8,90,0.84,2292.75,0.48,1,21.5,85,20.5,23.0
8,0.8,0.03,578.0,0.0,0.0,0.07,0.0,390.3,-7.46,24.0,25.0,83.5,100.0,8,90,0.84,2312.75,0.08,1,21.5,85,20.5,23.0
9,0.9,0.01,578.0,0.0,0.0,0.05,0.0,390.3,-8.51,24.0,25.0,83.5,100.0,8,90,0.84,2332.75,0.08,1,21.5,85,20.5,23.0
10,1.0,0.03,578.0,0.0,0.62,0.11,0.0,390.24,-8.59,24.0,25.0,83.5,100.0,8,90,1.24,2352.75,0.08,1,21.5,85,20.5,23.0
11,1.1,0.04,578.0,0.0,0.62,0.09,0.0,390.14,-8.09,24.0,25.0,83.5,100.0,8,90,1.24,2360.0,0.08,1,21.5,85,20.5,23.0
12,1.2,0.11,578.0,0.0,0.0,0.09,0.0,390.1,-8.56,24.0,25.0,83.5,100.0,8,90,1.24,2360.0,0.08,1,21.5,85,20.5,23.0
13,1.3,0.11,578.0,0.0,0.0,0.09,0.0,390.1,-9.61,24.0,25.0,83.5,100.0,8,90,1.24,2360.0,0.08,1,21.5,85,20.5,23.0
14,1.4,0.2,578.0,0.0,0.38,0.09,0.0,390.07,-9.75,24.0,25.0,83.5,100.0,8,90,1.24,2360.0,0.08,1,21.5,85,20.5,23.0
15,1.5,0.27,578.0,0.87,1.5,0.11,0.0,390.02,-9.35,24.0,25.0,83.5,100.0,8,90,1.24,2372.75,0.08,1,21.5,85,20.5,23.0
16,1.6,0.23,578.0,5.1,2.19,0.11,0.0,390.0,-9.67,24.0,25.0,83.5,100.0,8,90,1.24,2392.74,0.32,1,21.5,85,20.5,23.0
17,1.7,0.36,578.0,6.96,5.38,0.05,0.0,390.0,-10.42,24.0,25.0,83.5,100.0,8,90,1.24,2400.0,0.32,1,21.5,85,20.5,23.0
18,1.8,0.41,578.0,7.23,9.0,-0.03,0.0,390.0,-10.67,24.0,25.0,83.5,100.0,8,90,1.24,2400.0,0.32,1,21.5,85,20.5,23.0
19,1.9,0.45,578.0,7.27,9.0,-0.01,0.0,390.0,-10.62,24.0,25.0,83.5,100.0,8,90,1.24,2400.0,0.32,1,21.5,85,20.5,23.0
20,2.0,0.49,578.0,8.31,10.62,-0.03,0.0,389.97,-10.82,24.0,25.0,83.5,100.0,8,90,1.24,2400.0,0.32,1,21.5,85,20.5,23.0
21,2.1,0.53,578.0,10.21,11.19,-0.03,0.0,389.92,-11.17,24.0,25.0,83.5,100.0,8,90,1.24,2400.0,0.32,1,21.5,85,20.5,23.0
22,2.2,0.63,578.0,11.81,13.19,0.01,0.0,389.9,-11.64,24.0,25.0,83.5,100.0,8,90,1.24,2400.0,0.32,1,21.5,85,20.5,23.0
23,2.3,0.72,578.0,12.33,15.81,-0.03,0.0,389.9,-12.19,24.0,25.0,83.5,100.0,8,90,1.24,2400.0,0.32,1,21.5,85,20.5,23.0
