,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [캜],Requested Coolant Temperature [캜],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜]
0,0.0,0.0,549.0,0.0,0.0,0.19,0.0,386.6,-2.6,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.0,25.01
1,0.1,0.0,549.0,0.0,0.0,0.19,0.0,386.6,-2.6,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.0,25.01
2,0.2,0.0,549.0,0.0,0.0,0.21,0.0,386.6,-2.38,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.0,25.01
3,0.3,0.0,549.0,0.0,0.0,0.23,0.0,386.6,-2.08,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.0,25.01
4,0.4,0.0,549.0,0.0,0.0,0.19,0.0,386.6,-2.15,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.0,25.01
5,0.5,0.0,549.0,0.0,0.0,0.2,0.0,386.6,-2.35,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.0,25.01
6,0.6,0.0,549.0,0.0,0.0,0.2,0.0,386.6,-2.33,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.0,25.01
7,0.7,0.0,549.0,0.0,0.0,0.18,0.0,386.6,-2.23,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.0,25.01
8,0.8,0.0,549.0,0.0,0.0,0.18,0.0,386.6,-2.2,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.0,25.01
9,0.9,0.0,549.0,0.0,0.0,0.21,0.0,386.6,-2.2,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.05,25.01
10,1.0,0.0,549.0,0.0,0.0,0.19,0.0,386.6,-2.31,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.1,25.01
11,1.1,0.0,549.0,0.0,0.0,0.17,0.0,386.6,-2.46,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.15,25.01
12,1.2,0.0,549.0,0.0,0.0,0.2,0.0,386.6,-2.43,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.2,25.01
13,1.3,0.0,549.0,0.0,0.0,0.19,0.0,386.6,-2.33,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.25,25.01
14,1.4,0.0,549.0,0.0,0.0,0.19,0.0,386.6,-2.37,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.3,25.01
15,1.5,0.0,549.0,0.0,0.0,0.21,0.0,386.6,-2.47,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.35,25.01
16,1.6,0.0,549.0,0.0,0.0,0.23,0.0,386.6,-2.35,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.4,25.01
17,1.7,0.0,549.0,0.0,0.0,0.21,0.0,386.6,-2.15,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.45,25.01
18,1.8,0.0,549.0,0.0,0.0,0.24,0.0,386.6,-2.25,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.5,25.01
19,1.9,0.0,549.0,0.0,0.0,0.2,0.0,386.6,-2.45,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.59,25.01
20,2.0,0.0,549.0,0.0,0.0,0.2,0.0,386.6,-2.39,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.69,25.01
21,2.1,0.0,549.0,0.0,0.0,0.24,0.0,386.6,-2.24,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.79,25.01
22,2.2,0.0,549.0,0.0,0.0,0.23,0.0,386.6,-2.24,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.89,25.01
23,2.3,0.0,549.0,0.0,0.0,0.22,0.0,386.6,-2.29,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,21.99,25.01
24,2.4,0.0,549.0,0.0,0.0,0.2,0.0,386.6,-2.3,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,22.09,25.01
25,2.5,0.0,549.0,0.0,0.0,0.2,0.0,386.6,-2.3,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,22.19,25.01
26,2.6,0.0,549.0,0.0,0.0,0.2,0.0,386.6,-2.26,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,22.29,25.01
27,2.7,0.0,549.0,0.0,0.0,0.22,0.0,386.6,-2.21,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,22.39,25.01
28,2.8,0.0,549.0,0.0,0.0,0.22,0.0,386.6,-2.27,18.0,18.0,77.9,90.5,8,89.5,0.44,0,0.0,0,16.0,0,22.49,25.01
