,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [캜],Requested Coolant Temperature [캜],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜]
0,0.0,0.0,524.0,0.0,0.0,-0.03,0.0,386.9,-17.4,17,18,77.0,89.5,8,89.5,5.72,0,0.04,0,14.0,0,14.0,14.84
1,0.1,0.0,524.0,0.0,0.0,-0.03,0.0,386.86,-16.98,17,18,77.0,89.5,8,89.5,5.72,0,0.04,0,14.0,0,14.0,14.84
2,0.2,0.0,524.0,0.0,0.0,-0.03,0.0,386.81,-16.48,17,18,77.0,89.5,8,89.5,5.72,0,0.04,0,14.0,0,14.0,14.84
3,0.3,0.0,524.0,0.0,0.0,-0.04,0.0,386.8,-16.73,17,18,77.0,89.5,8,89.5,5.72,0,0.04,0,14.0,0,14.0,14.84
4,0.4,0.0,524.0,0.0,0.0,-0.03,0.0,386.8,-17.13,17,18,77.0,89.5,8,89.5,5.72,0,0.12,0,14.0,0,14.02,14.84
5,0.5,0.0,524.0,0.0,0.0,-0.03,0.0,386.76,-16.78,17,18,77.0,89.5,8,89.5,5.72,0,0.12,0,14.0,0,14.07,14.84
6,0.6,0.0,524.0,0.0,0.0,-0.04,0.0,386.71,-16.28,17,18,77.0,89.5,8,89.5,5.72,0,0.12,0,14.0,0,14.12,14.84
7,0.7,0.0,524.0,0.0,0.0,-0.03,0.0,386.74,-16.66,17,18,77.0,89.5,8,89.5,5.72,0,0.12,0,14.0,0,14.17,14.84
8,0.8,0.0,524.0,0.0,0.0,-0.03,0.0,386.79,-17.21,17,18,77.0,89.5,8,89.5,5.72,0,0.12,0,14.0,0,14.22,14.84
9,0.9,0.0,524.0,0.0,0.0,-0.01,0.0,386.76,-16.76,17,18,77.0,89.5,8,89.5,5.72,0,0.12,0,14.0,0,14.27,14.84
10,1.0,0.0,524.0,0.0,0.0,-0.01,0.0,386.71,-16.11,17,18,77.0,89.5,8,89.5,5.72,0,0.12,0,14.0,0,14.32,14.84
11,1.1,0.0,524.0,0.0,0.0,-0.02,0.0,386.74,-16.46,17,18,77.0,89.5,8,89.5,5.72,0,0.12,0,14.0,0,14.37,14.84
12,1.2,0.0,524.0,0.0,0.0,-0.01,0.0,386.79,-17.01,17,18,77.0,89.5,8,89.5,5.72,0,0.04,0,14.0,0,14.42,14.84
13,1.3,0.0,524.0,0.0,0.0,-0.04,0.0,386.76,-16.56,17,18,77.0,89.5,8,89.5,5.72,0,0.04,0,14.0,0,14.47,14.84
14,1.4,0.0,524.0,0.0,0.0,-0.03,0.0,386.71,-15.91,17,18,77.0,89.5,8,89.5,5.72,0,0.04,0,14.0,0,14.5,14.84
15,1.5,0.0,524.0,0.0,0.0,-0.03,0.0,386.74,-16.42,17,18,77.0,89.5,8,89.5,5.72,0,0.04,0,14.0,0,14.5,14.84
16,1.6,0.0,524.0,0.0,0.0,-0.03,0.0,386.79,-17.17,17,18,77.0,89.5,8,89.5,5.72,0,0.04,0,14.0,0,14.5,14.84
17,1.7,0.0,524.0,0.0,0.0,-0.03,0.0,386.8,-16.93,17,18,77.0,89.5,8,89.5,5.72,0,0.04,0,14.0,0,14.5,14.84
18,1.8,0.0,524.0,0.0,0.0,-0.03,0.0,386.8,-16.48,17,18,77.0,89.5,8,89.5,5.72,0,0.04,0,14.0,0,14.5,14.84
19,1.9,0.0,524.0,0.0,0.0,-0.01,0.0,386.76,-16.61,17,18,77.0,89.5,8,89.5,5.72,0,0.04,0,14.0,0,14.5,14.84
20,2.0,0.0,524.0,0.0,0.0,-0.02,0.0,386.71,-16.86,17,18,77.0,89.5,8,89.5,5.72,0,0.16,0,14.0,0,14.5,14.84
21,2.1,0.0,524.0,0.0,0.0,-0.01,0.0,386.74,-16.57,17,18,77.0,89.5,8,89.5,5.72,0,0.16,0,14.0,0,14.5,14.84
22,2.2,0.0,524.0,0.0,0.0,-0.02,0.0,386.79,-16.17,17,18,77.0,89.5,8,89.5,5.72,0,0.16,0,14.0,0,14.5,14.84
23,2.3,0.0,524.0,0.0,0.0,-0.03,0.0,386.76,-16.47,17,18,77.0,89.5,8,89.5,5.72,0,0.16,0,14.0,0,14.5,14.84
24,2.4,0.0,524.0,0.0,0.0,-0.04,0.0,386.71,-16.92,17,18,77.0,89.5,8,89.5,5.64,0,0.16,0,14.0,0,14.5,14.84
25,2.5,0.0,524.0,0.0,0.0,-0.05,0.0,386.74,-16.79,17,18,77.0,89.5,8,89.5,5.64,0,0.16,0,14.0,0,14.5,14.84
26,2.6,0.0,524.0,0.0,0.0,-0.03,0.0,386.79,-16.54,17,18,77.0,89.5,8,89.5,5.64,0,0.16,0,14.0,0,14.5,14.84
27,2.7,0.0,524.0,0.0,0.0,-0.03,0.0,386.76,-16.17,17,18,77.0,89.5,8,89.5,5.64,0,0.16,0,14.0,0,14.5,14.84
28,2.8,0.0,524.0,0.0,0.0,0.02,0.0,386.71,-15.77,17,18,77.0,89.5,8,89.5,5.64,0,0.04,0,14.0,0,14.5,14.84
29,2.9,0.0,524.0,0.0,0.0,-0.02,0.0,386.74,-15.99,17,18,77.0,89.5,8,89.5,5.64,0,0.04,0,14.0,0,14.5,14.84
30,3.0,0.0,524.0,0.0,0.0,-0.01,0.0,386.79,-16.34,17,18,77.0,89.5,8,89.5,5.64,0,0.04,0,14.0,0,14.5,14.84
31,3.1,0.0,524.0,0.0,0.0,-0.01,0.0,386.76,-15.9,17,18,77.0,89.5,8,89.5,5.64,0,0.04,0,14.0,0,14.5,14.84
32,3.2,0.0,524.0,0.0,0.0,-0.05,0.0,386.71,-15.3,17,18,77.0,89.5,8,89.5,5.64,0,0.04,0,14.0,0,14.5,14.84
33,3.3,0.0,524.0,0.0,0.0,-0.04,0.0,386.74,-15.78,17,18,77.0,89.5,8,89.5,5.64,0,0.04,0,14.0,0,14.5,14.84
34,3.4,0.0,524.0,0.0,0.0,-0.03,0.0,386.79,-16.48,17,18,77.0,89.5,8,89.5,5.64,0,0.04,0,14.0,0,14.52,14.84
35,3.5,0.0,524.0,0.0,0.0,0.0,0.0,386.76,-15.94,17,18,77.0,89.5,8,89.5,5.64,0,0.04,0,14.0,0,14.57,14.84
36,3.6,0.0,524.0,0.0,0.26,0.0,0.0,386.71,-15.14,17,18,77.0,89.5,8,89.5,5.64,0,0.12,0,14.0,0,14.62,14.84
37,3.7,0.0,524.0,0.0,0.0,-0.07,0.0,386.7,-15.71,17,18,77.0,89.5,8,89.5,5.64,0,0.12,0,14.0,0,14.67,14.84
38,3.8,0.0,524.0,0.0,0.26,-0.04,0.0,386.7,-16.56,17,18,77.0,89.5,8,89.5,5.64,0,0.12,0,14.0,0,14.72,14.84
39,3.9,0.0,524.0,0.0,0.26,-0.03,0.0,386.7,-16.16,17,18,77.0,89.5,8,89.5,5.64,0,0.12,0,14.0,0,14.77,14.84
40,4.0,0.0,524.0,0.0,0.74,-0.01,0.0,386.7,-15.51,17,18,77.0,89.5,8,89.5,5.64,0,0.12,0,14.0,0,14.82,14.84
41,4.1,0.0,524.0,0.0,0.75,-0.04,0.0,386.7,-15.73,17,18,77.0,89.5,8,89.5,5.64,0,0.12,0,14.0,0,14.87,14.84
42,4.2,0.0,524.0,0.0,0.75,-0.03,0.0,386.7,-16.13,17,18,77.0,89.5,8,89.5,5.63,0,0.12,0,14.0,0,14.92,14.84
43,4.3,0.0,524.0,2.05,0.26,-0.03,0.0,386.7,-15.7,17,18,77.0,89.5,8,89.5,5.63,0,0.12,0,14.0,0,14.97,14.84
44,4.4,0.0,524.0,8.06,1.84,-0.03,0.0,386.7,-15.1,17,18,77.0,89.5,8,89.5,5.63,0,0.04,0,14.0,0,15.0,14.84
45,4.5,0.0,524.0,14.18,3.84,0.08,0.0,386.66,-15.67,17,18,77.0,89.5,8,89.5,5.63,0,0.04,0,14.0,0,15.0,14.86
46,4.6,0.0,524.0,17.69,8.52,0.13,0.0,386.61,-16.47,17,18,77.0,89.5,8,89.5,5.63,0,0.05,0,14.0,0,15.0,14.88
47,4.7,0.0,524.0,18.83,17.7,0.32,0.0,386.6,-16.89,17,18,77.0,89.5,8,89.5,5.63,0,0.05,0,14.0,0,15.0,14.89
48,4.8,0.0,524.0,18.74,29.03,0.46,0.0,386.6,-17.24,17,18,77.0,89.5,8,89.5,5.63,0,0.05,0,14.0,0,15.0,14.91
49,4.9,0.0,524.0,18.7,34.02,0.49,0.0,386.52,-17.38,17,18,77.0,89.5,8,89.5,5.63,0,0.05,0,14.0,0,15.0,14.93
50,5.0,0.08,524.0,18.7,37.84,0.57,0.0,386.42,-17.48,17,18,77.0,89.5,8,89.5,5.63,0,0.06,0,14.0,0,15.0,14.94
51,5.1,0.44,524.0,18.7,41.52,0.59,0.0,386.44,-17.83,17,18,77.0,89.5,8,89.5,5.62,0,0.06,0,14.0,0,15.0,14.96
52,5.2,0.96,524.0,18.7,43.68,0.59,0.0,386.49,-18.23,17,18,77.0,89.5,8,89.5,5.62,0,0.06,0,14.0,0,15.0,14.98
53,5.3,1.16,524.0,18.78,44.66,0.68,0.0,386.42,-18.47,17,18,77.0,89.5,8,89.5,5.62,0,0.06,0,14.0,0,15.0,14.99
54,5.4,1.52,524.0,19.08,45.68,0.68,0.0,386.32,-18.67,17,18,77.0,89.5,8,89.5,5.62,0,0.07,0,14.0,0,15.0,15.0
55,5.5,1.65,524.0,20.68,46.5,0.73,0.0,386.34,-19.49,17,18,77.0,89.5,8,89.5,5.62,0,0.07,0,14.0,0,15.0,15.0
56,5.6,1.93,524.0,22.14,48.0,0.77,0.0,386.39,-20.44,17,18,77.0,89.5,8,89.5,5.62,0,0.07,0,14.0,0,15.0,15.0
57,5.7,2.25,524.0,23.07,50.62,0.8,0.0,386.28,-20.56,17,18,77.0,89.5,8,89.5,5.62,0,0.07,0,14.0,0,15.0,15.0
58,5.8,2.55,524.0,24.05,53.5,0.87,0.0,386.13,-20.51,17,18,77.0,89.5,8,89.5,5.62,0,0.08,0,14.0,0,15.0,15.0
59,5.9,2.89,524.0,24.1,56.65,0.89,0.0,386.14,-21.46,17,18,77.0,89.5,8,89.5,5.62,0,0.08,0,14.0,0,15.0,15.0
60,6.0,3.25,524.0,24.1,58.82,0.97,0.0,386.19,-22.61,17,18,77.0,89.5,8,89.5,5.61,0,0.08,0,14.0,0,15.0,15.0
61,6.1,3.61,524.0,24.25,59.53,0.99,0.0,386.08,-22.76,17,18,77.0,89.5,8,89.5,5.61,0,0.07,0,14.0,0,15.0,15.0
62,6.2,3.98,524.0,25.54,59.0,0.91,0.0,385.93,-22.71,17,18,77.0,89.5,8,89.5,5.61,0,0.07,0,14.0,0,15.0,15.0
63,6.3,4.37,524.0,27.09,58.85,0.95,0.0,385.86,-23.82,17,18,77.0,89.5,8,89.5,5.61,0,0.06,0,14.0,0,15.0,15.0
64,6.4,4.74,524.0,28.45,60.47,1.11,0.0,385.81,-25.17,17,18,77.0,89.5,8,89.5,5.61,0,0.06,0,14.0,0,15.02,15.0
65,6.5,5.17,524.0,29.08,62.68,1.06,0.0,385.72,-25.61,17,18,77.0,89.5,8,89.5,5.61,0,0.05,0,14.0,0,15.07,15.0
66,6.6,5.37,524.0,29.77,65.0,0.83,0.0,385.62,-25.86,17,18,77.0,89.5,8,89.5,5.61,0,0.05,0,14.0,0,15.12,15.0
67,6.7,5.89,524.0,33.61,64.65,0.79,0.0,385.52,-27.23,17,18,77.0,89.5,8,89.5,5.61,0,0.04,0,14.0,0,15.17,15.0
68,6.8,6.4,524.0,34.35,67.15,0.93,0.0,385.42,-28.83,17,18,77.0,89.5,8,89.5,5.61,0,0.04,0,14.0,0,15.22,15.0
69,6.9,6.85,524.0,34.35,78.3,1.17,0.0,385.28,-30.01,17,18,77.0,89.5,8,89.5,5.6,0,0.04,0,14.0,0,15.27,15.0
