TripA_num,Time [s],SoC [%],displayed SoC [%],Velocity [km/h],Motor Torque [Nm],Heating Power CAN [kW],AirCon Power [kW]
2014.7.1-1,324.5,85.04381666666511,98.43430833333332,23.716658333333328,5.527174999999999,0.04599999999999999,1.6875666666666798
2014.7.1-2,444.5,84.39765000000092,97.48835833333334,35.68794166666666,4.896691666666663,0.0,1.6037833333333473
2014.7.1-3,564.5,83.74342499999919,96.60506666666667,29.453533333333315,10.51745000000001,0.0,1.6201416666666832
2014.7.2-1,526.5,73.16917500000045,82.81561666666667,53.57452500000006,21.980925,0.0,0.786033333333336
2014.7.2-2,646.5,71.67029999999977,80.88491666666668,73.65315833333341,10.355991666666663,0.07594999999999999,0.6621166666666561
2014.7.2-3,766.5,71.05216666666618,80.0,36.14179999999997,-0.25531666666668323,0.04599999999999999,0.43164999999999226
2014.7.3-1,155.3,81.27275000000014,98.2534833333333,73.19718333333338,28.382458333333368,1.318958333333341,0.513608333333343
2014.7.3-2,275.3,77.35201666666694,92.985675,121.9954250000002,17.862008333333343,1.7126500000000044,0.4987999999999992
2014.7.3-3,395.3,75.77469999999958,90.79066666666667,79.90101666666689,10.42315833333333,1.4455166666666734,0.5416583333333366
2014.7.4-1,26.2,72.7521416666656,86.69950833333334,93.25540000000005,38.99093333333331,0.539858333333333,0.35986666666666195
2014.7.4-2,146.2,69.82105833333368,82.69242499999997,112.3118750000002,19.471049999999998,0.3219999999999998,0.24324166666666505
2014.7.4-3,266.2,66.87306666666684,78.69502500000002,108.98429999999995,2.402791666666666,0.2300000000000001,0.28293333333333603
2014.7.5-1,503.3,63.47967499999945,74.10418333333332,50.08781666666668,12.477224999999992,1.896308333333319,0.3227666666666633
2014.7.5-2,623.3,62.723058333333405,73.03784166666667,52.08408333333333,2.2024083333333317,1.7700833333333181,0.34769999999999945
2014.7.5-3,743.3,62.407133333334656,72.5101,23.996275000000022,7.245949999999992,1.6199999999999846,0.3311333333333306
2014.7.6-1,1402.2,75.88626666666654,88.40170833333335,23.073174999999985,3.557924999999998,5.321666666666609,0.6140833333333363
2014.7.6-2,1522.2,75.506624999999,87.90875,18.99855000000001,5.594241666666669,5.323333333333274,0.6514166666666706
2014.7.6-3,1642.2,75.09007499999899,87.40728333333334,39.73008333333332,7.211966666666665,5.321666666666607,0.6490249999999917
2014.7.7-1,866.6,46.143400000000035,49.592991666666684,115.77473333333326,21.49304999999999,0.0,0.5576166666666681
2014.7.7-2,986.6,44.30876666666681,47.146541666666664,83.25141666666661,6.119950000000004,0.09199999999999996,0.6931000000000022
2014.7.7-3,1106.6,42.008058333333274,44.2146,112.14917500000018,20.201066666666666,0.0,0.6074499999999972
2014.7.8-1,1222.9,80.61955000000123,94.0,10.636908333333324,3.5205749999999973,0.3219999999999998,0.3449666666666662
2014.7.8-2,1342.9,80.49558333333246,93.54601666666667,1.031083333333333,3.697433333333335,0.3219999999999998,0.43453333333332306
2014.7.8-3,1462.9,80.01029166666501,93.084475,32.53880000000004,4.932374999999988,0.19135000000000013,0.42937500000000123
2014.7.9-1,737.2,72.0134999999991,83.78931666666668,22.429099999999988,6.521091666666666,0.25386666666666663,0.06596666666666626
2014.7.9-2,857.2,71.5239500000003,83.10161666666667,35.364874999999984,10.287249999999997,0.18400000000000008,0.06756666666666693
2014.7.9-3,977.2,71.15998333333397,82.57288333333332,13.737149999999989,5.670500000000006,0.26255833333333334,0.06956666666666639
2014.7.10-1,528.8,66.25208333333359,74.74030833333333,69.13834166666663,6.296366666666672,0.25638333333333335,0.1926500000000003
2014.7.10-2,648.8,65.15572499999949,73.39664166666667,65.79210833333336,15.531133333333349,0.2047666666666668,0.19044999999999965
2014.7.10-3,768.8,64.10224166666698,72.00474166666667,62.850841666666724,11.960674999999982,0.47174999999999934,0.15999999999999995
