day,AbsDeviation-MedianFiltered,AbsDeviation,CenterCurve,Deviation-MedianFiltered,Deviation,Raw-MedianFiltered,Raw,temperature,moisture,soilsensor,watered
2023-07-08,31.86574074074074,31.97222222222222,948.6851851851852,-31.97222222222222,-32.01851851851852,916.6666666666666,911.5185185185185,29.59,57.5,700.5370370370371,0.07407407407407407
2023-07-09,5.010869565217392,4.826086956521739,952.2717391304348,4.391304347826087,4.423913043478261,956.695652173913,956.3478260869565,27.597391304347827,34.36576086956522,711.2065217391304,0.0
2023-07-10,14.005681818181818,13.471590909090908,963.0909090909091,-2.8238636363636362,-2.897727272727273,960.1931818181819,959.9090909090909,28.61965909090909,68.8690909090909,712.5340909090909,0.29545454545454547
2023-07-11,10.420454545454545,10.420454545454545,961.4886363636364,6.1477272727272725,6.1022727272727275,967.5909090909091,966.1363636363636,25.23465909090909,27.061249999999998,710.5909090909091,0.3181818181818182
2023-07-12,5.695652173913044,5.521739130434782,961.0,-0.043478260869565216,-0.043478260869565216,960.9565217391304,961.5,28.664891304347826,6.5201086956521745,709.9239130434783,0.06521739130434782
2023-07-13,9.282608695652174,9.282608695652174,959.195652173913,9.282608695652174,9.282608695652174,968.4782608695652,968.4130434782609,25.63891304347826,5.237717391304348,712.4673913043479,0.043478260869565216
2023-07-14,0.11956521739130435,0.11956521739130435,914.4782608695652,-0.11956521739130435,-0.17391304347826086,914.304347826087,914.195652173913,24.85586956521739,17.905108695652174,688.3260869565217,0.9347826086956522
2023-07-15,4.611111111111111,4.638888888888889,881.2777777777778,-4.638888888888889,-4.688888888888889,876.5888888888888,876.2222222222222,23.612555555555556,21.332555555555555,687.9555555555555,0.8222222222222222
2023-07-16,5.119318181818182,5.034090909090909,882.6136363636364,4.511363636363637,4.420454545454546,887.0340909090909,886.9090909090909,26.22761363636364,29.893522727272728,683.8522727272727,0.0
2023-07-17,9.08695652173913,9.108695652173912,881.054347826087,8.978260869565217,9.01086956521739,890.0652173913044,892.8478260869565,27.904891304347824,30.15413043478261,680.7065217391304,0.17391304347826086
2023-07-18,3.2402777777777776,3.2444444444444445,858.5166666666667,-3.2444444444444445,-3.4833333333333334,855.0333333333333,854.5111111111111,23.66611111111111,31.72466666666667,684.5,0.4888888888888889
2023-07-19,15.759943181818182,14.667613636363637,858.5852272727273,0.16761363636363635,0.4034090909090909,858.9886363636364,861.6363636363636,29.08,33.848181818181814,670.5681818181819,0.0
2023-07-20,25.467391304347824,24.717391304347824,903.5434782608696,-1.8695652173913044,-1.8695652173913044,901.6739130434783,901.2391304347826,30.078478260869563,35.97565217391305,672.1521739130435,0.0
2023-07-21,16.72826086956522,16.42391304347826,929.5652173913044,-5.989130434782608,-6.043478260869565,923.5217391304348,922.7826086956521,30.648152173913044,24.725760869565217,674.6413043478261,0.06521739130434782
2023-07-22,4.1521739130434785,4.043478260869565,938.7826086956521,3.0,3.0652173913043477,941.8478260869565,942.195652173913,27.449565217391307,23.38478260869565,686.7391304347826,0.15217391304347827
2023-07-23,1.7173913043478262,1.7173913043478262,913.7608695652174,-0.5,-0.5,913.2608695652174,913.304347826087,25.517934782608698,19.356847826086955,687.3260869565217,0.391304347826087
2023-07-24,25.894444444444446,25.738888888888887,877.6222222222223,-2.9722222222222223,-2.8333333333333335,874.7888888888889,874.5555555555555,28.150666666666666,21.87388888888889,680.8555555555556,0.08888888888888889
2023-07-25,32.130434782608695,32.08695652173913,859.3260869565217,28.282608695652176,28.282608695652176,887.6086956521739,889.7391304347826,27.660869565217393,22.225217391304348,679.5760869565217,0.17391304347826086
2023-07-26,22.67391304347826,22.23913043478261,864.6086956521739,-13.23913043478261,-13.217391304347826,851.3913043478261,851.6304347826087,29.45771739130435,27.140760869565216,671.2173913043479,0.15217391304347827
2023-07-27,13.173913043478262,12.369565217391305,903.1521739130435,-0.10869565217391304,-0.06521739130434782,903.0869565217391,902.8695652173913,33.017391304347825,25.19445652173913,654.3260869565217,0.0
2023-07-28,17.684782608695652,17.141304347826086,939.054347826087,-0.15217391304347827,-0.11956521739130435,938.9347826086956,938.5869565217391,33.53326086956522,18.30304347826087,653.7065217391304,0.08695652173913043
2023-07-29,16.508333333333333,16.019444444444446,959.7444444444444,-1.363888888888889,-1.3888888888888888,958.3555555555556,957.7111111111111,33.50944444444444,18.199555555555555,664.0777777777778,0.2222222222222222
2023-07-30,30.01086956521739,29.902173913043477,939.695652173913,-2.6630434782608696,-2.630434782608696,937.0652173913044,937.1739130434783,29.957500000000003,4.360760869565217,674.3913043478261,0.34782608695652173
2023-07-31,35.84782608695652,35.71739130434783,924.6521739130435,-25.717391304347824,-25.695652173913043,898.9565217391304,898.6521739130435,32.90271739130435,9.636847826086957,674.3586956521739,0.10869565217391304
2023-08-01,16.08695652173913,15.456521739130435,955.0434782608696,-1.6304347826086956,-1.6304347826086956,953.4130434782609,953.0434782608696,33.294347826086955,21.628913043478263,676.5869565217391,0.0
2023-08-02,13.565217391304348,13.0,969.6521739130435,-1.9130434782608696,-1.9130434782608696,967.7391304347826,967.0217391304348,33.82489130434782,52.06999999999999,685.2173913043479,0.0
2023-08-03,11.891304347826088,11.478260869565217,980.5217391304348,-2.130434782608696,-2.152173913043478,978.3695652173913,977.8478260869565,34.26717391304348,97.7108695652174,695.5,0.0
2023-08-04,10.043478260869565,9.76086956521739,988.9565217391304,-3.891304347826087,-3.891304347826087,985.0652173913044,984.6739130434783,34.89391304347826,98.50065217391304,704.554347826087,0.0
2023-08-05,10.052777777777777,9.594444444444445,993.5555555555555,-2.4722222222222223,-2.3444444444444446,991.2111111111111,991.0888888888888,34.27344444444444,99.10799999999999,715.4555555555555,0.0
2023-08-06,9.544642857142858,10.619047619047619,980.2440476190476,6.119047619047619,4.898809523809524,985.1428571428571,988.1428571428571,32.7552380952381,85.51833333333333,700.5357142857143,0.047619047619047616
2023-08-07,13.983333333333333,14.366666666666667,945.1666666666666,-14.1,-16.833333333333332,928.3333333333334,928.3333333333334,28.301,100.0,696.2333333333333,0.06666666666666667
2023-08-08,11.58695652173913,11.173913043478262,954.4130434782609,7.478260869565218,7.478260869565218,961.8913043478261,961.7826086956521,33.29695652173913,93.1758695652174,698.3586956521739,0.0
2023-08-09,25.33695652173913,24.967391304347824,907.5108695652174,21.72826086956522,21.706521739130434,929.2173913043479,929.6086956521739,27.352826086956522,75.15521739130435,704.5217391304348,0.0
2023-08-10,7.1625,7.169444444444444,605.6277777777777,-7.169444444444444,-7.216666666666667,598.4111111111112,597.7333333333333,22.04511111111111,12.785666666666668,706.1111111111111,0.5777777777777777
2023-08-11,44.84239130434783,44.60326086956522,529.875,-16.125,-16.092391304347824,513.7826086956521,512.5217391304348,26.560760869565218,8.145108695652175,704.2826086956521,0.4782608695652174
2023-08-12,41.0,39.65217391304348,567.2608695652174,-17.782608695652176,-17.76086956521739,549.5,548.7391304347826,25.56891304347826,13.775,703.0652173913044,0.08695652173913043
2023-08-13,11.543478260869565,11.5,634.2391304347826,3.717391304347826,3.9565217391304346,638.195652173913,638.3478260869565,29.508043478260866,12.202934782608697,700.0869565217391,0.06521739130434782
2023-08-14,26.440217391304348,25.54891304347826,773.4402173913044,2.157608695652174,2.233695652173913,775.6739130434783,774.695652173913,30.787608695652175,9.504891304347826,700.6739130434783,0.0
2023-08-15,33.38055555555555,32.88055555555555,855.3722222222223,0.3416666666666667,0.5055555555555555,855.8777777777777,854.8444444444444,32.151444444444444,5.711666666666666,702.9888888888889,0.0
2023-08-16,25.597826086956523,24.77173913043478,899.4891304347826,0.11956521739130435,0.11956521739130435,899.6086956521739,899.2391304347826,30.146521739130435,7.987608695652174,712.5326086956521,0.0
2023-08-17,19.714285714285715,19.714285714285715,895.7428571428571,19.714285714285715,17.34285714285714,913.0857142857143,914.7714285714286,32.029857142857146,10.476285714285714,711.4714285714285,0.0
2023-08-18,47.63636363636363,45.90909090909091,881.5909090909091,-18.363636363636363,-18.681818181818183,862.9090909090909,862.9090909090909,34.27318181818182,3.3613636363636363,710.9090909090909,0.0
2023-08-19,23.565217391304348,22.97826086956522,921.8913043478261,-1.5434782608695652,-1.4565217391304348,920.4347826086956,919.1521739130435,32.286847826086955,6.57304347826087,710.3152173913044,0.0
2023-08-20,20.152173913043477,19.608695652173914,946.5652173913044,-3.4347826086956523,-3.4565217391304346,943.1086956521739,942.2608695652174,32.53815217391305,6.505217391304348,713.3260869565217,0.0
2023-08-21,17.565217391304348,16.97826086956522,963.804347826087,-5.369565217391305,-5.369565217391305,958.4347826086956,957.9347826086956,32.043695652173916,25.51195652173913,714.1739130434783,0.0
2023-08-22,11.56547619047619,11.630952380952381,951.7619047619048,10.107142857142858,7.238095238095238,959.0,959.7142857142857,29.86869047619048,26.37940476190476,720.297619047619,0.0
2023-08-23,32.38235294117647,31.852941176470587,751.3235294117648,-4.323529411764706,-2.9705882352941178,748.3529411764706,748.2352941176471,27.301764705882352,5.649264705882352,715.2647058823529,0.0
2023-08-24,21.945652173913043,21.945652173913043,573.6086956521739,-21.945652173913043,-22.07608695652174,551.5326086956521,550.1739130434783,28.469891304347826,7.184891304347826,703.8260869565217,0.0
2023-08-25,9.627777777777778,9.527777777777779,620.7,4.383333333333334,3.7888888888888888,624.4888888888889,624.2,28.328444444444443,17.46288888888889,699.1111111111111,0.28888888888888886
2023-08-26,41.58695652173913,40.34782608695652,794.9565217391304,3.130434782608696,3.3043478260869565,798.2608695652174,797.304347826087,28.642391304347825,9.231630434782607,709.804347826087,0.10869565217391304
2023-08-27,31.02173913043478,30.152173913043477,881.5,-5.326086956521739,-5.130434782608695,876.3695652173913,874.7173913043479,29.018152173913045,8.401847826086957,717.6086956521739,0.0
2023-08-28,17.456521739130434,16.91304347826087,919.1521739130435,-0.21739130434782608,-0.21739130434782608,918.9347826086956,917.9347826086956,27.916304347826088,6.0086956521739125,722.304347826087,0.0
2023-08-29,18.695652173913043,18.369565217391305,892.1739130434783,12.456521739130435,12.282608695652174,904.4565217391304,903.304347826087,26.78032608695652,8.99195652173913,725.4130434782609,0.0
2023-08-30,6.782608695652174,6.782608695652174,674.9130434782609,-1.0434782608695652,-1.0,673.9130434782609,673.9565217391304,23.399130434782606,19.20119565217391,727.4782608695652,0.0
2023-08-31,41.54347826086956,40.26086956521739,582.0652173913044,-19.652173913043477,-19.47826086956522,562.5869565217391,561.8913043478261,24.796956521739133,24.290978260869565,728.9130434782609,0.06521739130434782
2023-09-01,48.54347826086956,46.78260869565217,703.4347826086956,3.130434782608696,3.239130434782609,706.6739130434783,707.9565217391304,24.84032608695652,24.18108695652174,729.8260869565217,0.5217391304347826
2023-09-02,41.65217391304348,40.67391304347826,826.5434782608696,-5.413043478260869,-5.413043478260869,821.1304347826087,819.0434782608696,26.40858695652174,22.043478260869566,730.3913043478261,0.0
2023-09-03,30.934782608695652,30.195652173913043,866.1413043478261,-5.543478260869565,-5.489130434782608,860.6521739130435,857.8695652173913,29.40804347826087,27.568586956521738,727.6739130434783,0.0
2023-09-04,25.041666666666668,24.288888888888888,901.6555555555556,-2.988888888888889,-3.2,898.4555555555555,896.2,29.61477777777778,18.58488888888889,729.5222222222222,0.0
2023-09-05,22.695652173913043,21.532608695652176,928.1521739130435,-0.33695652173913043,-0.2391304347826087,927.9130434782609,925.8695652173913,29.320108695652173,11.773369565217392,732.5760869565217,0.0
