Time [s],Velocity [km/h],Throttle [%],Battery Temperature [C],Ambient Temperature [C],Heating Power CAN [kW],AirCon Power [kW],SoC [%]
0.0,4.994,5.6738333333333335,21.266666666666666,22.33333333333333,0.7293333333333333,0.624,79.21000000000001
1.0,5.238598,5.233999999999999,21.266666666666666,22.33333333333333,0.756,0.6056666666666667,79.21000000000001
2.0,5.358600333333333,9.281666666666666,21.266666666666666,22.33333333333333,0.756,0.6143333333333333,79.20666666666666
3.0,5.882938666666666,12.857833333333334,21.266666666666666,22.348000000000003,0.7411093333333334,0.633888,79.2
4.0,6.748156333333333,12.898314666666666,21.266666666666666,22.35,0.732,0.62,79.2
5.0,7.566952666666667,13.253029666666666,21.266666666666666,22.338,0.729,0.6286666666666666,79.19666666666667
6.0,8.144098666666666,15.404359666666666,21.266666666666666,22.345333333333333,0.7456666666666667,0.6586666666666666,79.18333333333334
7.0,8.874272333333332,14.901429666666669,21.266666666666666,22.35,0.7558050000000001,0.680241,79.174
8.0,9.387594666666669,13.294808,21.266666666666666,22.337983333333334,0.7546666666666667,0.6893333333333334,79.16333333333334
9.0,9.532559999999998,15.476925666666666,21.266666666666666,22.32133333333333,1.0813333333333333,0.6716666666666666,79.15666666666667
10.0,10.214189,17.511494666666668,21.266666666666666,22.328666666666667,0.752,0.6794853333333334,79.15
11.0,11.031095333333331,18.933307,21.266666666666666,22.329666666666665,0.896,0.6978316666666667,79.14
12.0,11.828528666666667,18.08527833333333,21.266666666666666,22.346,0.9236666666666667,0.6850923333333334,79.12466666666667
13.0,12.555612333333332,17.551499999999997,21.266666666666666,22.363333333333333,0.96,0.6793333333333333,79.11333333333333
14.0,13.244274666666666,21.95397366666667,21.266666666666666,22.378666666666668,0.768,0.6676383333333333,79.11333333333333
15.0,14.375063333333332,19.871984666666663,21.266666666666666,22.357000000000003,0.7656666666666666,0.6673286666666667,79.114
16.0,15.229266,19.14073266666667,21.266666666666666,22.35,0.911,0.6630373333333334,79.11
17.0,15.434844666666669,19.554679333333336,21.266666666666666,22.369000000000003,0.7693333333333333,0.655728,79.11
18.0,15.794720666666668,21.571687,21.266666666666666,22.386666666666667,1.1373333333333333,0.6484556666666667,79.11
19.0,16.404505333333333,21.082928,21.266666666666666,22.412666666666667,0.763,0.6302076666666667,79.10733333333333
20.0,16.661129666666668,21.084647333333333,21.266666666666666,22.40333333333333,0.9466666666666668,0.6331223333333332,79.1
21.0,16.774683666666668,22.176972666666664,21.266666666666666,22.414,0.7703333333333333,0.6213123333333334,79.09666666666666
22.0,17.272810333333332,24.177281666666666,21.266666666666666,22.42866666666667,0.77,0.6016666666666667,79.09333333333333
23.0,18.223959666666666,24.680289,21.266666666666666,22.40833333333333,0.7586666666666666,0.6191169999999999,79.08
24.0,19.209922,26.996060666666665,21.266666666666666,22.419666666666668,0.7593333333333334,0.6066666666666667,79.068947
25.0,20.17161833333333,28.647256,21.266666666666666,22.433333333333334,0.951,0.604887,79.06506333333333
26.0,21.332157,28.983501666666665,21.266666666666666,22.433333333333334,0.7830356666666667,0.6042690000000001,79.05333333333333
27.0,22.36672433333333,28.81785,21.288666666666664,22.421666666666667,0.7840356666666666,0.6163333333333333,79.03733333333334
28.0,23.426232666666667,30.694721,21.3,22.42833333333333,0.968,0.6124123333333333,79.028
29.0,24.43311933333333,28.187803666666664,21.3,22.40833333333333,0.974688,0.6104269999999999,79.01333333333334
30.0,24.88216633333333,28.15478033333333,21.3,22.400666666666663,0.7916666666666666,0.6056666666666666,79.00703933333334
31.0,25.44782766666667,29.658819666666663,21.3,22.393898666666665,1.1586666666666663,0.6203333333333333,79.00170566666667
32.0,26.139940000000003,29.805927666666665,21.3,22.381293666666668,0.7878906666666666,0.6126666666666668,78.99666666666667
33.0,26.884392,27.563104666666668,21.3,22.397117,0.9418166666666666,0.6003333333333333,78.99333333333334
34.0,27.104466666666667,26.679520000000004,21.3,22.38566666666667,0.9483863333333332,0.6026666666666667,78.99666666666667
35.0,27.038545,27.616266666666668,21.268444666666667,22.398657,1.0748856666666666,0.6170000000000001,78.98333333333333
36.0,26.995876,31.012286,21.266666666666666,22.403301,0.9506666666666668,0.6069220000000001,78.97666666666667
37.0,27.452689,31.522642333333334,21.266666666666666,22.41333333333333,1.12,0.603496,78.968
38.0,28.021723,33.360875666666665,21.266666666666666,22.39370733333333,0.7466666666666666,0.609,78.96000000000001
39.0,28.83551033333333,33.71760233333333,21.266666666666666,22.392252,0.7725463333333333,0.608274,78.95700000000001
40.0,29.70135966666667,32.89237633333333,21.266666666666666,22.383333333333333,1.3646666666666667,0.6026666666666667,78.94
41.0,30.265530666666667,32.37093566666667,21.266666666666666,22.383333333333333,0.8160000000000001,0.603,78.93
42.0,30.631729,31.594980333333336,21.266666666666666,22.369000000000003,0.7986666666666667,0.5985236666666667,78.92333333333333
43.0,31.07812266666667,32.830452333333334,21.266666666666666,22.337343333333333,0.7866666666666667,0.595621,78.90823966666667
44.0,31.662028000000003,32.408999,21.266666666666666,22.332306000000003,0.7453333333333333,0.5977363333333333,78.89
45.0,32.27341966666667,32.76906566666666,21.266666666666666,22.334359,0.7391156666666667,0.5920973333333334,78.88666666666667
46.0,33.00007433333333,31.450196666666667,21.266666666666666,22.316666666666663,0.7146666666666667,0.599264,78.87918566666667
47.0,33.556552,29.915523333333333,21.266666666666666,22.30605166666667,0.9312196666666668,0.5850046666666666,78.86666666666666
48.0,33.96899766666667,28.919865666666663,21.266666666666666,22.31334766666667,0.968,0.5855436666666667,78.86333333333333
49.0,33.91378733333333,28.673639,21.266666666666666,22.3,0.7899229999999999,0.582721,78.85
50.0,33.56199933333333,26.130822666666667,21.3,22.311666666666667,0.8086666666666666,0.583039,78.84666666666666
51.0,32.764444,24.15962,21.315768,22.316666666666663,1.037981,0.5824603333333334,78.83333333333333
52.0,31.77871,23.572548,21.33333333333333,22.316666666666663,1.0806473333333335,0.5776203333333334,78.83999999999999
53.0,30.839631666666666,25.619933,21.33333333333333,22.303477,1.26774,0.575795,78.83999999999999
54.0,30.41920233333333,26.224861,21.33333333333333,22.27133333333333,1.003,0.5691076666666667,78.83033333333333
55.0,30.037723333333336,25.759211333333333,21.33333333333333,22.27985733333333,1.0434686666666666,0.5717956666666667,78.82333333333332
56.0,29.861492,28.32228333333333,21.33333333333333,22.297,1.2476666666666667,0.5640186666666668,78.81433333333332
57.0,30.16816233333333,28.11477,21.33333333333333,22.286813666666667,0.9287396666666666,0.5668683333333334,78.80666666666666
58.0,30.336662666666665,27.38237833333333,21.360666666666667,22.255666666666663,0.948,0.5666936666666668,78.79666666666667
59.0,30.537929,30.445787666666664,21.366666666666667,22.27766666666667,0.7983899999999999,0.5635486666666666,78.78333333333333
60.0,31.113610666666663,30.692339666666665,21.366666666666667,22.28333333333333,1.0053333333333334,0.5622586666666667,78.76466666666667
61.0,32.03142,31.51936133333333,21.433333333333334,22.285,0.8586666666666666,0.5632163333333333,78.75366666666667
62.0,32.976319333333336,30.39261533333333,21.433333333333334,22.313,0.964,0.5585816666666666,78.74227666666667
63.0,33.671228,28.33256,21.433333333333334,22.330666666666666,0.9332103333333334,0.5641443333333334,78.73
64.0,33.691104333333335,25.847936,21.433333333333334,22.316333333333333,0.977,0.5709153333333333,78.72666666666667
65.0,33.44871366666667,29.081931,21.433333333333334,22.307333333333336,1.198651,0.591763,78.72
66.0,33.613289,28.560941,21.433333333333334,22.286,1.0226666666666666,0.642124,78.71666666666667
67.0,33.654984666666664,27.880801,21.433333333333334,22.270666666666667,0.844,0.6387893333333333,78.70800000000001
68.0,33.878905333333336,27.195813,21.433333333333334,22.290333333333333,0.9167066666666668,0.6465580000000001,78.69666666666667
69.0,34.009532666666665,29.937294,21.433333333333334,22.287333333333333,0.9648963333333334,0.6410096666666667,78.68066666666667
70.0,34.399400666666665,30.33626466666667,21.433333333333334,22.27533333333333,0.9252523333333332,0.6361436666666668,78.67123
71.0,34.91835266666667,28.85546933333333,21.433333333333334,22.266666666666666,0.7876263333333334,0.6454156666666666,78.65166666666667
72.0,34.94844533333333,27.467784,21.433333333333334,22.27433333333333,0.822,0.6388466666666667,78.63920166666666
73.0,35.00376366666667,26.213663333333333,21.433333333333334,22.280666666666665,1.027116,0.6251106666666666,78.63066666666667
74.0,34.999135,30.215754333333333,21.466666666666665,22.27858133333333,0.9773333333333334,0.6376123333333333,78.62666666666668
75.0,35.436939,29.833269,21.466666666666665,22.266666666666666,0.6520103333333334,0.659385,78.62920133333334
76.0,35.921262666666664,29.41857033333333,21.466666666666665,22.255333333333333,0.832626,0.6581153333333333,78.614
77.0,36.25977366666667,27.921288333333333,21.5,22.24233333333333,0.648,0.6924113333333334,78.60333333333332
78.0,36.17255433333333,29.54363233333333,21.5,22.249666666666663,0.7453333333333333,0.6766369999999999,78.59666666666666
79.0,36.330409,31.758579333333333,21.5,22.258,0.7516666666666666,0.6673333333333333,78.58666666666666
80.0,36.747917,30.714267666666668,21.5,22.258666666666667,0.6204750000000001,0.6602149999999999,78.57333333333332
81.0,37.30816766666667,31.56916933333333,21.5,22.266666666666666,0.5906666666666667,0.6455013333333334,78.56666666666666
82.0,37.61530333333334,29.732655,21.5,22.268,0.5986666666666667,0.6410483333333333,78.54666666666667
83.0,37.847868,31.978680333333333,21.5,22.271918666666668,0.6537873333333333,0.6323333333333333,78.53999999999999
84.0,38.21229233333334,32.445490666666664,21.5,22.266666666666666,0.6756653333333333,0.631,78.53
