,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Heating Power LIN [W],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Heater Voltage [V],Heater Current [A],Ambient Temperature [캜],Ambient Temperature Sensor [캜],Coolant Temperature Heatercore [캜],Requested Coolant Temperature [캜],Coolant Temperature Inlet [캜],Coolant Volume Flow +500 [l/h],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜],Temperature Coolant Heater Inlet [캜],Temperature Coolant Heater Outlet [캜],Temperature Heat Exchanger Outlet [캜],Temperature Defrost lateral left [캜],Temperature Defrost lateral right [캜],Temperature Defrost central [캜],Temperature Defrost central left [캜],Temperature Defrost central right [캜],Temperature Footweel Driver [캜],Temperature Footweel Co-Driver [캜],Temperature Feetvent Co-Driver [캜],Temperature Feetvent Driver [캜],Temperature Head Co-Driver [캜],Temperature Head Driver [캜],Temperature Vent right [캜] ,Temperature Vent central right [캜],Temperature Vent central left [캜],Temperature Vent right [캜]
0,0.0,0.0,483.0,0.0,0.0,-0.17,0.0,379.2,-4.3,11.0,12.0,67.5,78.0,8,88.5,1.44,1440.0,1440.0,0,1,382.0,3.75,3.0,3.19,53.0,85,51.0,-0.23,43.0,23.84,48.75,51.63,49.1,34.0,33.92,36.18,37.41,35.84,19.43,25.1,43.87,42.82,20.21,22.22,32.95,33.92,35.14,31.73
1,0.1,0.0,483.0,0.0,0.0,-0.21,0.0,379.2,-4.46,11.0,12.0,67.5,78.0,8,88.5,1.44,1440.0,1440.0,0,1,382.0,3.75,3.0,3.19,53.0,85,51.0,-0.23,43.0,23.84,48.75,51.63,49.1,34.0,33.92,36.18,37.41,35.84,19.43,25.1,43.87,42.82,20.21,22.22,32.95,33.92,35.14,31.73
2,0.2,0.0,483.0,0.0,0.0,-0.21,0.0,379.2,-4.71,11.0,12.0,67.5,78.0,8,88.5,1.44,1440.0,1459.96,0,1,382.0,3.75,3.0,3.19,53.0,85,51.0,-0.22,43.0,23.84,48.75,51.63,49.1,34.0,33.92,36.18,37.41,35.84,19.43,25.1,43.87,42.82,20.21,22.22,32.95,33.92,35.14,31.73
3,0.3,0.0,483.0,0.0,0.0,-0.18,0.0,379.2,-4.9,11.0,12.0,67.5,78.0,8,88.5,1.44,1449.72,1479.96,0,1,382.0,3.75,3.0,3.19,53.0,85,51.0,-0.21,43.0,23.84,48.75,51.63,49.1,34.0,33.92,36.18,37.41,35.84,19.43,25.1,43.87,42.82,20.21,22.22,32.95,33.92,35.14,31.73
4,0.4,0.0,483.0,0.0,0.0,-0.18,0.0,379.2,-5.05,11.0,12.0,67.5,78.0,8,88.5,1.44,1459.72,1480.0,0,1,382.0,3.75,3.0,3.19,53.0,85,51.0,-0.21,43.0,23.84,48.75,51.63,49.1,34.0,33.92,36.18,37.41,35.84,19.43,25.1,43.87,42.82,20.21,22.22,32.95,33.92,35.14,31.73
5,0.5,0.0,483.0,0.0,0.0,-0.18,0.0,379.2,-5.03,11.0,12.0,67.5,78.0,8,88.5,1.44,1469.72,1480.0,0,1,382.0,3.75,3.0,3.19,53.0,85,51.0,-0.2,43.0,23.84,48.75,51.63,49.1,34.0,33.92,36.18,37.41,35.84,19.43,25.1,43.87,42.82,20.21,22.22,32.95,33.92,35.14,31.73
6,0.6,0.0,483.0,0.0,0.0,-0.2,0.0,379.2,-4.93,11.0,12.0,67.5,78.0,8,88.5,1.44,1479.72,1480.0,0,1,382.0,3.75,3.0,3.19,53.0,85,51.0,-0.19,43.0,23.84,48.75,51.63,49.1,34.0,33.92,36.18,37.41,35.84,19.43,25.1,43.87,42.82,20.21,22.22,32.95,33.92,35.14,31.73
7,0.7,0.0,483.0,0.0,0.0,-0.17,0.0,379.23,-5.26,11.0,12.0,67.5,78.0,8,88.5,1.44,1480.0,1480.0,0,1,382.0,3.87,3.0,3.19,53.0,85,51.0,-0.18,43.0,23.84,48.75,51.63,49.1,34.0,33.92,36.18,37.41,35.84,19.43,25.1,43.87,42.82,20.21,22.22,32.95,33.92,35.14,31.73
8,0.8,0.0,483.0,0.0,0.0,-0.2,0.0,379.28,-5.81,11.0,12.0,67.5,78.0,8,88.5,1.44,1480.0,1480.0,0,1,382.0,4.0,3.0,3.2,53.0,85,51.0,-0.18,43.0,23.84,48.75,51.63,49.1,34.0,33.92,36.18,37.41,35.84,19.43,25.1,43.87,42.82,20.21,22.25,32.95,33.92,35.14,31.73
9,0.9,0.0,483.0,0.0,0.0,-0.19,0.0,379.27,-5.67,11.0,12.0,67.5,78.0,8,88.5,1.44,1480.0,1480.0,0,1,382.0,4.0,3.0,3.21,53.0,85,51.0,-0.17,43.0,23.84,48.75,51.63,49.1,34.0,33.92,36.18,37.41,35.85,19.43,25.1,43.88,42.82,20.21,22.28,32.95,33.92,35.14,31.73
10,1.0,0.0,483.0,0.0,0.0,-0.2,0.0,379.22,-5.17,11.0,12.0,67.5,78.0,8,88.5,1.44,1480.0,1480.0,0,1,382.0,4.0,3.0,3.22,53.0,85,51.0,-0.16,43.0,23.84,48.75,51.63,49.09,34.0,33.92,36.18,37.41,35.86,19.43,25.1,43.88,42.82,20.21,22.3,32.95,33.92,35.14,31.73
11,1.1,0.0,483.0,0.0,0.0,-0.2,0.0,379.2,-5.36,11.0,12.0,67.5,78.0,8,88.5,1.44,1480.0,1480.0,0,1,382.0,3.88,3.0,3.23,53.0,85,51.0,-0.15,43.0,23.84,48.75,51.63,49.08,34.0,33.92,36.18,37.41,35.86,19.43,25.1,43.89,42.82,20.21,22.33,32.95,33.92,35.14,31.73
12,1.2,0.0,483.0,0.0,0.0,-0.23,0.0,379.2,-5.91,11.0,12.0,67.5,78.0,8,88.5,1.44,1480.0,1480.0,0,1,382.0,3.75,3.0,3.24,53.0,85,51.0,-0.17,43.0,23.84,48.75,51.63,49.07,34.0,33.92,36.18,37.41,35.87,19.43,25.1,43.9,42.82,20.21,22.35,32.95,33.92,35.14,31.73
13,1.3,0.0,483.0,0.0,0.0,-0.21,0.0,379.2,-5.74,11.0,12.0,67.5,78.0,8,88.5,1.44,1480.0,1480.0,0,1,382.0,3.87,3.0,3.25,53.0,85,51.0,-0.18,43.0,23.84,48.75,51.63,49.06,34.0,33.92,36.18,37.41,35.88,19.43,25.1,43.91,42.82,20.21,22.38,32.95,33.92,35.14,31.73
14,1.4,0.0,483.0,0.0,0.0,-0.18,0.0,379.2,-5.19,11.0,12.0,67.5,78.0,8,88.5,1.44,1480.0,1480.0,0,1,382.0,4.0,3.0,3.25,53.0,85,51.0,-0.2,43.0,23.84,48.75,51.63,49.05,34.0,33.92,36.18,37.41,35.89,19.43,25.1,43.92,42.82,20.21,22.41,32.95,33.92,35.14,31.73
15,1.5,0.0,483.0,0.0,0.0,-0.2,0.0,379.2,-5.0,11.0,12.0,67.5,78.0,8,88.5,1.44,1480.0,1480.0,0,1,382.0,4.0,3.0,3.26,53.0,85,51.0,-0.21,43.0,23.84,48.75,51.63,49.04,34.0,33.92,36.18,37.41,35.9,19.43,25.1,43.93,42.82,20.21,22.43,32.95,33.92,35.14,31.73
16,1.6,0.0,483.0,0.0,0.0,-0.2,0.0,379.2,-5.0,11.0,12.0,67.5,78.0,8,88.5,1.44,1480.0,1480.0,0,1,382.0,4.0,3.0,3.27,53.0,85,51.0,-0.23,43.0,23.84,48.75,51.63,49.04,34.0,33.92,36.18,37.41,35.91,19.43,25.1,43.94,42.82,20.21,22.46,32.95,33.92,35.14,31.73
